Id	CountyName	StateName	Population	LandArea
1001	Autauga County	 Alabama	54590	604.49	
1003	Baldwin County	 Alabama	183226	2027.08	
1005	Barbour County	 Alabama	27469	904.59	
1007	Bibb County	 Alabama	22769	625.5	
1009	Blount County	 Alabama	57466	650.65	
1011	Bullock County	 Alabama	10779	626.11	
1013	Butler County	 Alabama	20730	777.99	
1015	Calhoun County	 Alabama	117834	612.35	
1017	Chambers County	 Alabama	34228	603.15	
1019	Cherokee County	 Alabama	25917	600	
1021	Chilton County	 Alabama	43611	700.8	
1023	Choctaw County	 Alabama	13838	920.91	
1025	Clarke County	 Alabama	25768	1252.6	
1027	Clay County	 Alabama	13828	606.05	
1029	Cleburne County	 Alabama	14905	561.06	
1031	Coffee County	 Alabama	49966	680.52	
1033	Colbert County	 Alabama	54451	623.66	
1035	Conecuh County	 Alabama	13188	852.58	
1037	Coosa County	 Alabama	11305	666.41	
1039	Covington County	 Alabama	37803	1043.95	
1041	Crenshaw County	 Alabama	13971	610.91	
1043	Cullman County	 Alabama	80403	754.86	
1045	Dale County	 Alabama	50129	562.72	
1047	Dallas County	 Alabama	43572	993.46	
1049	DeKalb County	 Alabama	70949	778.71	
1051	Elmore County	 Alabama	79330	657.26	
1053	Escambia County	 Alabama	38122	953.04	
1055	Etowah County	 Alabama	104317	548.81	
1057	Fayette County	 Alabama	17219	629.38	
1059	Franklin County	 Alabama	31664	646.55	
1061	Geneva County	 Alabama	26769	578.96	
1063	Greene County	 Alabama	9067	659.99	
1065	Hale County	 Alabama	15750	656.52	
1067	Henry County	 Alabama	17275	568.38	
1069	Houston County	 Alabama	101459	581.71	
1071	Jackson County	 Alabama	53279	1126.82	
1073	Jefferson County	 Alabama	658464	1123.87	
1075	Lamar County	 Alabama	14513	605.51	
1077	Lauderdale County	 Alabama	92528	718.84	
1079	Lawrence County	 Alabama	34148	718.13	
1081	Lee County	 Alabama	140938	615.61	
1083	Limestone County	 Alabama	83313	607.12	
1085	Lowndes County	 Alabama	11304	725.09	
1087	Macon County	 Alabama	21214	613.29	
1089	Madison County	 Alabama	334661	812.89	
1091	Marengo County	 Alabama	20909	982.92	
1093	Marion County	 Alabama	30641	743.62	
1095	Marshall County	 Alabama	93070	623.21	
1097	Mobile County	 Alabama	412297	1644.14	
1099	Monroe County	 Alabama	22993	1034.62	
1101	Montgomery County	 Alabama	229376	799.81	
1103	Morgan County	 Alabama	119330	599.09	
1105	Perry County	 Alabama	10525	724.13	
1107	Pickens County	 Alabama	19646	890.1	
1109	Pike County	 Alabama	32750	672.15	
1111	Randolph County	 Alabama	22843	584.15	
1113	Russell County	 Alabama	53938	647.44	
1115	St. Clair County	 Alabama	83530	653.66	
1117	Shelby County	 Alabama	195237	809.6	
1119	Sumter County	 Alabama	13669	913.35	
1121	Talladega County	 Alabama	82194	760.32	
1123	Tallapoosa County	 Alabama	41534	766.3	
1125	Tuscaloosa County	 Alabama	194254	1352.03	
1127	Walker County	 Alabama	67016	805.36	
1129	Washington County	 Alabama	17407	1088.62	
1131	Wilcox County	 Alabama	11706	907.54	
1133	Winston County	 Alabama	24432	631.9	
2013	Aleutians East Borough	 Alaska	3114	15011.77	
2016	Aleutians West Census Area	 Alaska	5507	14114.7	
